Conf,Rayon Giration,Distance,ecart-type Distance,RMSD,ecart-type RMSD,Ratio Giration,Correlation,p-value Correlation
REF,17.45,0,,,,,,
74,17.56,11.73,3.14,1.58,0.94,1.01,0.46,0.0
75,17.97,11.86,3.1,1.66,0.99,1.03,0.4,0.0
76,17.64,11.74,3.19,1.53,1.03,1.01,0.5,0.0
77,18.0,11.78,3.19,1.6,1.07,1.03,0.54,0.0
78,18.25,11.7,3.19,1.6,1.09,1.05,0.51,0.0
79,17.6,11.63,3.16,1.53,1.04,1.01,0.48,0.0
80,18.13,11.67,3.07,1.59,1.08,1.04,0.41,0.0
81,18.47,11.71,3.19,1.59,0.99,1.06,0.48,0.0
82,17.53,11.7,3.09,1.55,1.03,1.0,0.45,0.0
83,17.66,11.73,3.09,1.55,1.02,1.01,0.4,0.0
84,17.65,11.65,3.04,1.43,0.98,1.01,0.37,0.0
85,18.04,11.71,3.09,1.4,1.01,1.03,0.41,0.0
86,17.72,11.62,3.08,1.47,1.04,1.02,0.43,0.0
87,18.26,11.77,3.11,1.5,1.02,1.05,0.44,0.0
88,17.73,11.67,3.17,1.27,0.87,1.02,0.49,0.0
89,18.26,11.75,3.1,1.34,0.89,1.05,0.4,0.0
90,17.86,11.74,3.06,1.43,0.83,1.02,0.37,0.0
91,18.44,11.79,3.13,1.44,0.92,1.06,0.37,0.0
92,17.48,11.73,3.13,1.54,1.08,1.0,0.48,0.0
93,17.52,11.75,3.13,1.58,1.02,1.0,0.48,0.0
